videoId,metaData,viewCount,likeCount,commentCount
tpYYIC3j0NQ,"{'kind': 'youtube#searchResult', 'etag': 'V1FJb3SgyN00p5pBCfl15ynKD1Q', 'id': {'kind': 'youtube#video', 'videoId': 'tpYYIC3j0NQ'}, 'snippet': {'publishedAt': '2022-01-17T05:00:15Z', 'channelId': 'UC4OPXGhLI6seUqeYOaUABaw', 'title': 'ANALISIS #1 - Pakai Digital Marketing Sudah Wajib, Pahami Komponennya', 'description': 'Digital marketing menjadi satu topik yang banyak diperbincangkan di era kekinian, khususnya sejak pandemi COVID-19 merebak ...', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/tpYYIC3j0NQ/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/tpYYIC3j0NQ/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/tpYYIC3j0NQ/hqdefault.jpg', 'width': 480, 'height': 360}}, 'channelTitle': 'Marketeers TV', 'liveBroadcastContent': 'none', 'publishTime': '2022-01-17T05:00:15Z'}}",3612,220,220
2wKJwOircyU,"{'kind': 'youtube#searchResult', 'etag': 'VeOGUdkWmhjg-C3Y7lME_U8CgDo', 'id': {'kind': 'youtube#video', 'videoId': '2wKJwOircyU'}, 'snippet': {'publishedAt': '2020-02-24T09:26:21Z', 'channelId': 'UCEj5t40X7DDIptSCsm4cryw', 'title': 'Belajar Digital Marketing untuk Pemula + BONUS Ebook Gratis', 'description': 'Digital marketing itu bukan cuma soal promosi di media sosial. Ada banyak strategi digital marketing yang bisa kamu pakai untuk ...', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/2wKJwOircyU/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/2wKJwOircyU/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/2wKJwOircyU/hqdefault.jpg', 'width': 480, 'height': 360}}, 'channelTitle': 'Niagahoster Indonesia', 'liveBroadcastContent': 'none', 'publishTime': '2020-02-24T09:26:21Z'}}",51736,1688,1688
A6aN1dYo5QA,"{'kind': 'youtube#searchResult', 'etag': 'zLR6unx_puYXI7vbEKHhztS0ONU', 'id': {'kind': 'youtube#video', 'videoId': 'A6aN1dYo5QA'}, 'snippet': {'publishedAt': '2020-10-12T08:30:00Z', 'channelId': 'UC3StFFBdWVHQEAOLPAHiQOg', 'title': 'Apa itu Digital Marketing? Bedanya dengan online marketing, 3 jenis, dan spesialisasi pekerjaannya', 'description': 'Perkenalan Digital Marketing Dalam video Career Insight berikut ini membahas lebih dalam mengenai digital marketing.', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/A6aN1dYo5QA/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/A6aN1dYo5QA/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/A6aN1dYo5QA/hqdefault.jpg', 'width': 480, 'height': 360}}, 'channelTitle': 'EKRUT', 'liveBroadcastContent': 'none', 'publishTime': '2020-10-12T08:30:00Z'}}",8046,243,243
1w8OYX0iVzM,"{'kind': 'youtube#searchResult', 'etag': 'ZYTBLYIYcrmQtXZDAJSNUJ1jO1k', 'id': {'kind': 'youtube#video', 'videoId': '1w8OYX0iVzM'}, 'snippet': {'publishedAt': '2020-09-02T14:32:48Z', 'channelId': 'UCx-9wWeG3YcqxXKXxOn3wMA', 'title': 'DIGITAL MARKETING', 'description': 'Live kali ini saya mau ngebahas tentang Digital Marketing secara global. Setidaknya, ini bisa memberikan gambaran buat Anda ...', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/1w8OYX0iVzM/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/1w8OYX0iVzM/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/1w8OYX0iVzM/hqdefault.jpg', 'width': 480, 'height': 360}}, 'channelTitle': 'Dewa Eka Prayoga', 'liveBroadcastContent': 'none', 'publishTime': '2020-09-02T14:32:48Z'}}",71417,2375,2375
XSF02iR-lIY,"{'kind': 'youtube#searchResult', 'etag': '4eDDx5eyG6gXD9LzmF8LGjiBI_A', 'id': {'kind': 'youtube#video', 'videoId': 'XSF02iR-lIY'}, 'snippet': {'publishedAt': '2021-09-03T11:47:49Z', 'channelId': 'UCi3SFlzMRkyqaNpQyVhvXZA', 'title': 'Cara Membangun Bisnis Online - Rahasia Jago Digital Marketing dengan 7 Skill ini!', 'description': 'Di video kali ini saya membahas cara membangun bisnis online untuk pemula dengan digital marketing. Maka dari itu, video ini ...', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/XSF02iR-lIY/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/XSF02iR-lIY/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/XSF02iR-lIY/hqdefault.jpg', 'width': 480, 'height': 360}}, 'channelTitle': 'DennySantoso', 'liveBroadcastContent': 'none', 'publishTime': '2021-09-03T11:47:49Z'}}",16364,697,697
4GOFwI9GZgI,"{'kind': 'youtube#searchResult', 'etag': '6OK2Ko3KEX5KobnK102GJ3s9yiQ', 'id': {'kind': 'youtube#video', 'videoId': '4GOFwI9GZgI'}, 'snippet': {'publishedAt': '2018-09-28T07:48:37Z', 'channelId': 'UCAmwqIztph8yq28MgCq3IGA', 'title': 'Pengertian Digital Marketing dan Jenis-jenisnys', 'description': 'Jika Ingin berkolaborasi dengan chanel Talking with Desi, atau Anda membutuhkan Solusi Marketing untuk Branding dan ...', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/4GOFwI9GZgI/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/4GOFwI9GZgI/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/4GOFwI9GZgI/hqdefault.jpg', 'width': 480, 'height': 360}}, 'channelTitle': 'Talking with Desi', 'liveBroadcastContent': 'none', 'publishTime': '2018-09-28T07:48:37Z'}}",50278,1453,1453
cIzly7Bc7G4,"{'kind': 'youtube#searchResult', 'etag': 'GY7WdDownGMqJRH-8UARO17qTms', 'id': {'kind': 'youtube#video', 'videoId': 'cIzly7Bc7G4'}, 'snippet': {'publishedAt': '2020-05-31T04:00:11Z', 'channelId': 'UCgRx_UL3vB_BjKJjGvthzgw', 'title': 'Bahas Tuntas Skill Wajib Digital Marketing | #Webinar Kinibisa', 'description': 'Webinar Kinibisa seri ketiga bertema ""Must Have Skills in The Digital Era: Digital Marketing"" bersama Diandra Karina, ...', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/cIzly7Bc7G4/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/cIzly7Bc7G4/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/cIzly7Bc7G4/hqdefault.jpg', 'width': 480, 'height': 360}}, 'channelTitle': 'Kinibisa', 'liveBroadcastContent': 'none', 'publishTime': '2020-05-31T04:00:11Z'}}",28288,644,644
vz1Llv6QZT8,"{'kind': 'youtube#searchResult', 'etag': 'QEDbOVV9bgtrQIHGDuZWYH1SeE0', 'id': {'kind': 'youtube#video', 'videoId': 'vz1Llv6QZT8'}, 'snippet': {'publishedAt': '2021-09-09T13:51:05Z', 'channelId': 'UCJOIqOSZ7_2C_vgBBQiB6Uw', 'title': 'RevoU Virtual Open House: Digital Marketing Program', 'description': 'Kami sedang membuka pendaftaran RevoU Digital Marketing Program (kelas dimulai Jan 2022). Ayo daftar sekarang karena ...', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/vz1Llv6QZT8/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/vz1Llv6QZT8/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/vz1Llv6QZT8/hqdefault.jpg', 'width': 480, 'height': 360}}, 'channelTitle': 'RevoU', 'liveBroadcastContent': 'none', 'publishTime': '2021-09-09T13:51:05Z'}}",15586,345,345
9vpqElXcGSc,"{'kind': 'youtube#searchResult', 'etag': 'S05tx8_hBpjU2Jg8UyuZyAr7kpE', 'id': {'kind': 'youtube#video', 'videoId': '9vpqElXcGSc'}, 'snippet': {'publishedAt': '2020-07-23T04:00:14Z', 'channelId': 'UCJzKifAZRKQowhM-LdmMazA', 'title': 'Apa sih pengertian digital marketing?', 'description': 'Melalui video ini, kita akan mengerti bagaimana digital marketing bekerja. Dalam pemasaran digital, tidak hanya menggunakan ...', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/9vpqElXcGSc/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/9vpqElXcGSc/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/9vpqElXcGSc/hqdefault.jpg', 'width': 480, 'height': 360}}, 'channelTitle': 'Impro-VisualStoryteller', 'liveBroadcastContent': 'none', 'publishTime': '2020-07-23T04:00:14Z'}}",19298,343,343
6yBM2ZG-pWk,"{'kind': 'youtube#searchResult', 'etag': '4MVgtlRVmEOc_vOw7EQBmKynX7A', 'id': {'kind': 'youtube#video', 'videoId': '6yBM2ZG-pWk'}, 'snippet': {'publishedAt': '2020-04-20T13:00:04Z', 'channelId': 'UCLUnl9eTPyPl8ZQxhUGGhlQ', 'title': '6 Jenis Pekerjaan Digital Marketing Bagi Pemula Bisnis Online', 'description': '6 Jenis Pekerjaan Digital Marketing Bagi Pemula Bisnis Online Hai Pemirsa Teknobie!! Di kesempatan kali ini pak Michael akan ...', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/6yBM2ZG-pWk/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/6yBM2ZG-pWk/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/6yBM2ZG-pWk/hqdefault.jpg', 'width': 480, 'height': 360}}, 'channelTitle': 'Teknobie', 'liveBroadcastContent': 'none', 'publishTime': '2020-04-20T13:00:04Z'}}",46866,1577,1577
nU-IIXBWlS4,"{'kind': 'youtube#searchResult', 'etag': '1egA8dDSckEIJlnD5VxBkFqQ51Y', 'id': {'kind': 'youtube#video', 'videoId': 'nU-IIXBWlS4'}, 'snippet': {'publishedAt': '2020-03-16T05:30:01Z', 'channelId': 'UCsvqVGtbbyHaMoevxPAq9Fg', 'title': 'Digital Marketing Course Part - 1 🔥| Digital Marketing Tutorial For Beginners | Simplilearn', 'description': 'Free Digital Marketing course With Completion Certificate: ...', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/nU-IIXBWlS4/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/nU-IIXBWlS4/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/nU-IIXBWlS4/hqdefault.jpg', 'width': 480, 'height': 360}}, 'channelTitle': 'Simplilearn', 'liveBroadcastContent': 'none', 'publishTime': '2020-03-16T05:30:01Z'}}",2286209,58216,58216
gH9zcq7Aeqc,"{'kind': 'youtube#searchResult', 'etag': '9FGL6eXs3aNMcjms7QFKb6pmoDA', 'id': {'kind': 'youtube#video', 'videoId': 'gH9zcq7Aeqc'}, 'snippet': {'publishedAt': '2022-01-19T12:00:22Z', 'channelId': 'UCzDNsDnN55mXW65zSGAnHeQ', 'title': 'Ungkap Suka Duka Kerja di Bidang Digital Marketing | GAJI &amp; TANTANGAN', 'description': 'Di setiap bidang pekerjaan pasti memiliki kisah menariknya masing-masing, salah satunya digital marketing. Di episode kali ini ...', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/gH9zcq7Aeqc/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/gH9zcq7Aeqc/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/gH9zcq7Aeqc/hqdefault.jpg', 'width': 480, 'height': 360}}, 'channelTitle': 'Purwadhika Digital Technology School', 'liveBroadcastContent': 'none', 'publishTime': '2022-01-19T12:00:22Z'}}",2065,82,82
eNfV-DM_ZBs,"{'kind': 'youtube#searchResult', 'etag': '18v-U9RWwPn3zmxERRhS1StGmLo', 'id': {'kind': 'youtube#video', 'videoId': 'eNfV-DM_ZBs'}, 'snippet': {'publishedAt': '2018-09-26T05:59:31Z', 'channelId': 'UCB8Ax2lYzT-QI9Bz1LFtppQ', 'title': 'Dasar-Dasar Digital Marketing untuk Pebisnis- Coach Hendra Hilman', 'description': 'Pebisnis di era digital saat ini memerlukan strategi untuk lebih mengembangkan bisnisnya. Strategi2 semakin banyak, namun, ...', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/eNfV-DM_ZBs/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/eNfV-DM_ZBs/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/eNfV-DM_ZBs/hqdefault.jpg', 'width': 480, 'height': 360}}, 'channelTitle': 'HENDRA HILMAN', 'liveBroadcastContent': 'none', 'publishTime': '2018-09-26T05:59:31Z'}}",83392,2235,2235
zC9DqY6-xlQ,"{'kind': 'youtube#searchResult', 'etag': 'sLSrtHpwJC3q1hqJKfAuIH06tlk', 'id': {'kind': 'youtube#video', 'videoId': 'zC9DqY6-xlQ'}, 'snippet': {'publishedAt': '2020-12-05T03:00:20Z', 'channelId': 'UCopPWrFIF3iim_KIW_93RDw', 'title': 'Profesi / Karir Digital Marketing : Social Media &amp; Content', 'description': 'Social media strategist Social media specialist Social media admin / officer Content specialist Content writer Copywriter Apa ...', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/zC9DqY6-xlQ/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/zC9DqY6-xlQ/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/zC9DqY6-xlQ/hqdefault.jpg', 'width': 480, 'height': 360}}, 'channelTitle': 'Andin Rahmana', 'liveBroadcastContent': 'none', 'publishTime': '2020-12-05T03:00:20Z'}}",13244,789,789
2UW1AY2M3vc,"{'kind': 'youtube#searchResult', 'etag': 'R85-nqqv5_Qm0SnTRo3uIrWbrqk', 'id': {'kind': 'youtube#video', 'videoId': '2UW1AY2M3vc'}, 'snippet': {'publishedAt': '2021-08-02T15:16:15Z', 'channelId': 'UCv3qYAW5SngKAYQnnGdCbCw', 'title': '9 Tools Andalan dan Terbaik Untuk Digital Marketing', 'description': 'Apa saja 9 tools digital marketing yang wajib kita andalkan? Di video ini saya membahas 9 tool digital marketing yang keren dan ...', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/2UW1AY2M3vc/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/2UW1AY2M3vc/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/2UW1AY2M3vc/hqdefault.jpg', 'width': 480, 'height': 360}}, 'channelTitle': 'Jefferly Helian', 'liveBroadcastContent': 'none', 'publishTime': '2021-08-02T15:16:15Z'}}",2279,71,71
JYxXrmRYkng,"{'kind': 'youtube#searchResult', 'etag': 'dhcsrQnn3tvWFyhJQ6sIJb_my3g', 'id': {'kind': 'youtube#video', 'videoId': 'JYxXrmRYkng'}, 'snippet': {'publishedAt': '2020-07-29T13:00:05Z', 'channelId': 'UCx-9wWeG3YcqxXKXxOn3wMA', 'title': 'BELAJAR DIGITAL MARKETING YANG BENER (PERHATIKAN NI)', 'description': 'Tips bisnis kali ini membahas tentang tips belajar digital marketing yang bener. Apa aja yang harus diperhatikan? Poin apa saja ...', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/JYxXrmRYkng/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/JYxXrmRYkng/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/JYxXrmRYkng/hqdefault.jpg', 'width': 480, 'height': 360}}, 'channelTitle': 'Dewa Eka Prayoga', 'liveBroadcastContent': 'none', 'publishTime': '2020-07-29T13:00:05Z'}}",40042,1193,1193
