user_id,punya_usaha,bidang_keahlian,hobi,modal_usaha,nama_usaha
EI4H6vQBKCX24ieN0TIXhUxGwl83,TRUE,"['rumah tangga','kesehatan']","['makan', 'nonton', 'travelling']",above_100,Galeri Medika Toko Alat Kesehatan Online
LJAdbxtfMzf7MdF9R1zqeJMRKGh1,TRUE,"['rumah tangga','kesehatan']","['baca', 'makan', 'nonton', 'travelling']",under_50,Distributor Masker Scuba Cimahi
1mETXRvfBpMs8Vvkk4dkbipB2xz1,TRUE,['kuliner'],['makan'],between_50_and_100,Oleh-Oleh Kuliner Bandung
Hcw98ye4DEUA3Ll8BYpZh1azEti1,TRUE,['kuliner'],['travelling'],under_50,BIsnis Sambal Kemasan
WkPVfn7uIyXnQAg5gfqqW6QQiNc2,TRUE,['kuliner'],"['makan', 'olahraga', 'travelling', 'nonton', 'baca']",above_100,Rumah Makan Legoh
XfboE48JkEXsB63bq4kJWz9nsDu2,TRUE,['kuliner'],"['makan', 'travelling']",above_100,Rumah Makan Ayam Taliwang Yogyakarta
gjHRdwqQQlUDmndZKt41PMs9WWx2,TRUE,['kesehatan'],"['travelling', 'makan']",above_100,Bisnis Obat Herbal
0uPD10jXDVcpc1xcW1AL44dJ0gX2,TRUE,['kuliner'],['makan'],between_50_and_100,Bisnis Pecel Lele Lamongan
ZdQ1Tfx3tudR0IsNJePUFAf13GY2,TRUE,['kuliner'],"['travelling', 'olahraga', 'makan', 'baca', 'nonton']",above_100,Ayam Goreng Hisana
jrN3AglCa1adkoK4hYxPAlPK5tl1,TRUE,['kuliner'],['nonton'],above_100,Warung Nasi Sunda
7psEz9ZUzLNLdM4BnO3s82A9q952,TRUE,"['rumah tangga','kesehatan']","['travelling', 'nonton', 'olahraga']",above_100,Toko Alat Kesehatan Tokopedia
9vF5qf6kQJVpfdw6vSxPgPc4vhW2,TRUE,"['kuliner','kesehatan']",['baca'],between_50_and_100,Distributor Madu Hutan Bandung
BJV91tZRijXYhRwyB5wgCNGjmP22,TRUE,['kesehatan'],"['baca', 'nonton', 'olahraga', 'travelling', 'makan']",under_50,Bisnis Scincare Termurah Bandung
ycfqjQk3TvVCkXkhzi2jPNvdGZF2,FALSE,['kesehatan'],"['travelling', 'olahraga']",above_100,UNK
U9vTyBm5psVwCCJ2jn3nw9ub7gl2,FALSE,"['kuliner','kesehatan']","['travelling', 'olahraga', 'nonton']",between_50_and_100,UNK
aPbomASelYdAMFj9c9ifT1ZZMkX2,FALSE,['kuliner'],"['baca', 'olahraga', 'travelling']",under_50,UNK
3w06llxEz3Xg3FntfAkRMUurMRe2,FALSE,"['kuliner','rumah tangga','kesehatan']","['olahraga', 'makan']",above_100,UNK
wu7KgceCQYc0ESoVZiGRnWJ2GyO2,FALSE,"['rumah tangga','kesehatan']","['nonton', 'makan', 'travelling', 'baca']",between_50_and_100,UNK
